

本Wiki中译名以官方Wiki中文语言包为准
射弹 ID
跳到导航跳到搜索
主文章：数据 ID
此页面包含有泰拉瑞亚游戏代码中用于引用射弹的内部射弹 ID 的可排序列表。此信息对于研究性目的或开发诸如模组之类的第三方软件会很有用。


目录
1	ID 列表
2	前代主机版/3DS版
3	历史
ID 列表
射弹	来源
ID	图像	名称	内部名称
1	Wooden Arrow.png	木箭（友方）	WoodenArrowFriendly	使用木箭或无尽箭袋的任意标准弓/连弩，向导、哥布林弓箭手、蓝邪教徒弓箭手
2	Flaming Arrow.png	烈火箭	FireArrow	使用烈焰箭的任意标准弓/连弩（或装备了熔火箭袋时使用木箭），困难模式中的向导、骷髅弓箭手、海盗弩手、从熔火之怒射出的木箭
3	Shuriken.png	手里剑	Shuriken	手里剑（抛出的）
4	Unholy Arrow.png	邪箭	UnholyArrow	使用邪箭的任意标准弓/连弩
5	Jester's Arrow.png	小丑之箭	JestersArrow	使用小丑之箭的任意标准弓/连弩
6	Enchanted Boomerang.png	附魔回旋镖	EnchantedBoomerang	附魔回旋镖（抛出的）
7	Vilethorn (projectile).png	魔刺（基部）	VilethornBase	魔刺
8	Vilethorn (end projectile).png	魔刺（尖端）	VilethornTip	魔刺
9	Starfury (projectile).png	星怒	Starfury	星怒
10	Purification Powder.png	净化粉	PurificationPowder	净化粉（抛出的）
11	Vile Powder.png	魔粉	VilePowder	魔粉（抛出的）
12	Fallen Star.png	陨星	FallingStar	星星炮（），夜晚的天空
13	Grappling Hook (projectile).png	爪钩	Hook	抓钩
14	Bullet (projectile).png	子弹	Bullet	使用火枪子弹或银子弹/钨子弹的任意标准枪
15	Ball of Fire.png	火球	BallofFire	火之花
16	Magic Missile (projectile).png	魔法飞弹	MagicMissile	魔法飞弹
17	Dirt Ball.png	土球	DirtBall	土魔杖
18	Shadow Orb (light pet).png	暗影珠	ShadowOrb	暗影珠
19	Flamarang.png	烈焰回旋镖	Flamarang	烈焰回旋镖（抛出的）
20	Green Laser (projectile).png	绿激光	GreenLaser	太空枪、冲击枪
21	Bone.png	骨头	Bone	骨头（抛出的）
22	Water Stream (projectile).png	水流	WaterStream	海蓝权杖
23	Harpoon (projectile).png	鱼叉枪	Harpoon	鱼叉枪
24	Spiky Ball.png	尖球	SpikyBall	尖球（抛出的）
25	Ball O' Hurt (projectile).png	链球	BallOHurt	链球
26	Blue Moon (projectile).png	蓝月	BlueMoon	蓝月
27	Water Bolt (projectile).png	水矢	WaterBolt	水矢
28	Bomb (projectile).png	炸弹	Bomb	炸弹（抛出的）
29	Dynamite (projectile).png	雷管	Dynamite	雷管（抛出的）
30	Grenade.png	手榴弹	Grenade	手榴弹（抛出的）
31	Sand Ball.png	沙球	SandBallFalling	沙（掉落中）、蚁狮所发射的沙
32	Ivy Whip (projectile).png	常春藤鞭	IvyWhip	常春藤鞭
33	Thorn Chakram.png	荆棘旋刃	ThornChakram	荆棘旋刃（抛出的）
34	Flamelash (projectile).gif	烈焰火鞭	Flamelash	烈焰火鞭
35	Sunfury (projectile).png	阳炎之怒	Sunfury	阳炎之怒
36	Meteor Shot (projectile).png	流星弹	MeteorShot	使用流星弹的任意标准枪
37	Sticky Bomb (projectile).png	粘性炸弹	StickyBomb	粘性炸弹（抛出的）
38	Harpy Feather.png	鸟妖之羽	HarpyFeather	鸟妖
39	Mud Ball.png	泥球	MudBall	无
40	Ash Ball.png	灰烬球	AshBallFalling	 在 for the worthy 种子中，当击打附近的灰烬块时
41	Hellfire Arrow.png	狱炎箭	HellfireArrow	使用狱炎箭的任意标准弓/连弩
