ID	名称	放置后图像	内部名称	安全墙[a]
1	石墙	Stone Wall (placed).png	Stone	✔️
2	土墙	Dirt Wall (natural) (placed).png	DirtUnsafe	❌
3	黑檀石墙	Ebonstone Wall (placed).png	EbonstoneUnsafe	❌
4	木墙	Wood Wall (placed).png	Wood	✔️
5	灰砖墙	Gray Brick Wall (placed).png	GrayBrick	✔️
6	红砖墙	Red Brick Wall (placed).png	RedBrick	✔️
7	蓝砖墙	Blue Brick Wall (placed).png	BlueDungeonUnsafe	❌
8	绿砖墙	Green Brick Wall (placed).png	GreenDungeonUnsafe	❌
9	粉砖墙	Pink Brick Wall (placed).png	PinkDungeonUnsafe	❌
10	金砖墙	Gold Brick Wall (placed).png	GoldBrick	✔️
11	银砖墙	Silver Brick Wall (placed).png	SilverBrick	✔️
12	铜砖墙	Copper Brick Wall (placed).png	CopperBrick	✔️
13	狱石砖墙	Hellstone Brick Wall (placed).png	HellstoneBrickUnsafe	❌
14	黑曜石砖墙	Obsidian Brick Wall (placed).png	ObsidianBrickUnsafe	❌
15	泥墙	Mud Wall (placed).png	MudUnsafe	❌
16	土墙	Dirt Wall (placed).png	Dirt	✔️
17	蓝砖墙	Blue Brick Wall (placed).png	BlueDungeon	✔️
18	绿砖墙	Green Brick Wall (placed).png	GreenDungeon	✔️
19	粉砖墙	Pink Brick Wall (placed).png	PinkDungeon	✔️
20	黑曜石砖墙	Obsidian Brick Wall (placed).png	ObsidianBrick	✔️
21	玻璃墙	Glass Wall (placed).png	Glass	✔️
22	珍珠石砖墙	Pearlstone Brick Wall (placed).png	PearlstoneBrick	✔️
23	荧光砖墙	Iridescent Brick Wall (placed).png	IridescentBrick	✔️
24	泥石砖墙	Mudstone Brick Wall (placed).png	MudstoneBrick	✔️
25	钴砖墙	Cobalt Brick Wall (placed).png	CobaltBrick	✔️
26	秘银砖墙	Mythril Brick Wall (placed).png	MythrilBrick	✔️
27	板条墙	Planked Wall (placed).png	Planked	✔️
28	珍珠石墙	Pearlstone Wall (placed).png	PearlstoneBrickUnsafe	❌
29	糖棒墙	Candy Cane Wall (placed).png	CandyCane	✔️
30	绿糖棒墙	Green Candy Cane Wall (placed).png	GreenCandyCane	✔️
31	雪砖墙	Snow Brick Wall (placed).png	SnowBrick	✔️
32	精金梁墙	Adamantite Beam Wall (placed).png	AdamantiteBeam	✔️
33	魔矿砖墙	Demonite Brick Wall (placed).png	DemoniteBrick	✔️
34	沙岩砖墙	Sandstone Brick Wall (placed).png	SandstoneBrick	✔️
35	黑檀石砖墙	Ebonstone Brick Wall (placed).png	EbonstoneBrick	✔️
36	红泥灰墙	Red Stucco Wall (placed).png	RedStucco	✔️
37	黄泥灰墙	Yellow Stucco Wall (placed).png	YellowStucco	✔️
38	绿泥灰墙	Green Stucco Wall (placed).png	GreenStucco	✔️
39	灰泥灰墙	Gray Stucco Wall (placed).png	Gray	✔️
40	雪墙	Snow Wall (placed).png	SnowWallUnsafe	❌
41	乌木墙	Ebonwood Wall (placed).png	Ebonwood	✔️
42	红木墙	Rich Mahogany Wall (placed).png	RichMaogany	✔️
43	珍珠木墙	Pearlwood Wall (placed).png	Pearlwood	✔️
44	彩虹砖墙	Rainbow Brick Wall (placed).gif	RainbowBrick	✔️
45	锡砖墙	Tin Brick Wall (placed).png	TinBrick	✔️
46	钨砖墙	Tungsten Brick Wall (placed).png	TungstenBrick	✔️
47	铂金砖墙	Platinum Brick Wall (placed).png	PlatinumBrick	✔️
48	紫晶石墙	Amethyst Stone Wall (placed).png	AmethystUnsafe	❌
49	黄玉石墙	Topaz Stone Wall (placed).png	TopazUnsafe	❌
50	蓝玉石墙	Sapphire Stone Wall (placed).png	SapphireUnsafe	❌
51	翡翠石墙	Emerald Stone Wall (placed).png	EmeraldUnsafe	❌
52	红玉石墙	Ruby Stone Wall (placed).png	RubyUnsafe	❌
53	钻石石墙	Diamond Stone Wall (placed).png	DiamondUnsafe	❌
54	绿苔藓墙	Green Mossy Wall (placed).png	CaveUnsafe	❌
55	棕苔藓墙	Brown Mossy Wall (placed).png	Cave2Unsafe	❌
56	红苔藓墙	Red Mossy Wall (placed).png	Cave3Unsafe	❌
57	蓝苔藓墙	Blue Mossy Wall (placed).png	Cave4Unsafe	❌
58	紫苔藓墙	Purple Mossy Wall (placed).png	Cave5Unsafe	❌
59	岩石土墙	Rocky Dirt Wall (placed).png	Cave6Unsafe	❌
60	生命树叶墙	Living Leaf Wall (placed).png	LivingLeaf	✔️
61	古老石墙	Unique Cave Wall 7 (placed).png	Cave7Unsafe	❌
62	蜘蛛墙	Spider Wall (placed).png	SpiderUnsafe	❌
63	草墙	Grass Wall (placed).png	GrassUnsafe	❌
64	丛林墙	Jungle Wall (placed).png	JungleUnsafe	❌
65	花墙	Flower Wall (placed).png	FlowerUnsafe	❌
66	草墙	Grass Wall (placed).png	Grass	✔️
67	丛林墙	Jungle Wall (placed).png	Jungle	✔️
68	花墙	Flower Wall (placed).png	Flower	✔️
69	腐化草墙	Corrupt Grass Wall (placed).png	CorruptGrassUnsafe	❌
70	神圣草墙	Hallowed Grass Wall (placed).png	HallowedGrassUnsafe	❌
71	冰雪墙	Ice Wall (placed).png	IceUnsafe	❌
72	仙人掌墙	Cactus Wall (placed).png	Cactus	✔️
73	云墙	Cloud Wall (placed).png	Cloud	✔️
74	蘑菇墙	Mushroom Wall (placed).png	Mushroom	✔️
75	骨块墙	Bone Block Wall (placed).png	Bone	✔️
76	史莱姆块墙	Slime Block Wall (placed).png	Slime	✔️
77	血肉块墙	Flesh Block Wall (placed).png	Flesh	✔️
78	生命木墙	Living Wood Wall (placed).png	LivingWood	✔️
79	黑曜石墙	Obsidian Wall (placed).png	ObsidianBackUnsafe	❌
80	蘑菇墙	Mushroom Wall (placed).png	MushroomUnsafe	❌
81	猩红草墙	Crimson Grass Wall (placed).png	CrimsonGrassUnsafe	❌
82	飞盘墙	Disc Wall (placed).png	DiscWall	✔️
83	猩红石墙	Crimstone Wall (placed).png	CrimstoneUnsafe	❌
84	冰雪砖墙	Ice Brick Wall (placed).png	IceBrick	✔️
85	暗影木墙	Shadewood Wall (placed).png	Shadewood	✔️
86	蜂巢墙	Hive Wall (placed).png	HiveUnsafe	❌
87	丛林蜥蜴砖墙	Lihzahrd Brick Wall (placed).png	LihzahrdBrickUnsafe	❌
88	紫花窗玻璃	Purple Stained Glass (placed).png	PurpleStainedGlass	✔️
89	黄花窗玻璃	Yellow Stained Glass (placed).png	YellowStainedGlass	✔️
90	蓝花窗玻璃	Blue Stained Glass (placed).png	BlueStainedGlass	✔️
91	绿花窗玻璃	Green Stained Glass (placed).png	GreenStainedGlass	✔️
92	红花窗玻璃	Red Stained Glass (placed).png	RedStainedGlass	✔️
93	五彩花窗玻璃	Multicolored Stained Glass (placed).png	RainbowStainedGlass	✔️
94	蓝板墙	Blue Slab Wall (placed).png	BlueDungeonSlabUnsafe	❌
95	蓝瓷砖墙	Blue Tiled Wall (placed).png	BlueDungeonTileUnsafe	❌
96	粉板墙	Pink Slab Wall (placed).png	PinkDungeonSlabUnsafe	❌
97	粉瓷砖墙	Pink Tiled Wall (placed).png	PinkDungeonTileUnsafe	❌
98	绿板墙	Green Slab Wall (placed).png	GreenDungeonSlabUnsafe	❌
99	绿瓷砖墙	Green Tiled Wall (placed).png	GreenDungeonTileUnsafe	❌
100	蓝板墙	Blue Slab Wall (placed).png	BlueDungeonSlab	✔️
101	蓝瓷砖墙	Blue Tiled Wall (placed).png	BlueDungeonTile	✔️
102	粉板墙	Pink Slab Wall (placed).png	PinkDungeonSlab	✔️
103	粉瓷砖墙	Pink Tiled Wall (placed).png	PinkDungeonTile	✔️
104	绿板墙	Green Slab Wall (placed).png	GreenDungeonSlab	✔️
105	绿瓷砖墙	Green Tiled Wall (placed).png	GreenDungeonTile	✔️
106	木栅栏	Wooden Fence (placed).png	WoodenFence	✔️
107	铅栅栏	Lead Fence (placed).png	MetalFence	✔️
108	蜂巢墙	Hive Wall (placed).png	Hive	✔️
109	钯金柱墙	Palladium Column Wall (placed).png	PalladiumColumn	✔️
110	泡泡糖块墙	Bubblegum Block Wall (placed).png	BubblegumBlock	✔️
111	钛石块墙	Titanstone Block Wall (placed).png	TitanstoneBlock	✔️
112	丛林蜥蜴砖墙	Lihzahrd Brick Wall (placed).png	LihzahrdBrick	✔️
113	南瓜墙	Pumpkin Wall (placed).png	Pumpkin	✔️
114	干草墙	Hay Wall (placed).png	Hay	✔️
115	阴森木墙	Spooky Wood Wall (placed).png	SpookyWood	✔️
116	圣诞树壁纸	Christmas Tree Wallpaper (placed).png	ChristmasTreeWallpaper	✔️
117	装饰壁纸	Ornament Wallpaper (placed).png	OrnamentWallpaper	✔️
118	糖棒壁纸	Candy Cane Wallpaper (placed).png	CandyCaneWallpaper	✔️
119	节日壁纸	Festive Wallpaper (placed).png	FestiveWallpaper	✔️
120	星星壁纸	Stars Wallpaper (placed).png	StarsWallpaper	✔️
121	波浪条纹壁纸	Squiggles Wallpaper (placed).png	SquigglesWallpaper	✔️
122	雪花壁纸	Snowflake Wallpaper (placed).png	SnowflakeWallpaper	✔️
123	坎卜斯犄角壁纸	Krampus Horn Wallpaper (placed).png	KrampusHornWallpaper	✔️
124	蓝绿壁纸	Bluegreen Wallpaper (placed).png	BluegreenWallpaper	✔️
125	格林奇手指壁纸	Grinch Finger Wallpaper (placed).png	GrinchFingerWallpaper	✔️
126	别致灰壁纸	Fancy Gray Wallpaper (placed).png	FancyGrayWallpaper	✔️
127	浮冰壁纸	Ice Floe Wallpaper (placed).png	IceFloeWallpaper	✔️
128	音符壁纸	Music Wallpaper (placed).png	MusicWallpaper	✔️
129	紫雨壁纸	Purple Rain Wallpaper (placed).png	PurpleRainWallpaper	✔️
130	彩虹壁纸	Rainbow Wallpaper (placed).png	RainbowWallpaper	✔️
131	烁石壁纸	Sparkle Stone Wallpaper (placed).png	SparkleStoneWallpaper	✔️
132	星光天堂壁纸	Starlit Heaven Wallpaper (placed).png	StarlitHeavenWallpaper	✔️
133	泡泡壁纸	Bubble Wallpaper (placed).png	BubbleWallpaper	✔️
134	铜管壁纸	Copper Pipe Wallpaper (placed).png	CopperPipeWallpaper	✔️
135	黄鸭壁纸	Ducky Wallpaper (placed).png	DuckyWallpaper	✔️
136	瀑布墙	Waterfall Wall (placed).gif	Waterfall	✔️
137	熔岩瀑布墙	Lavafall Wall (placed).gif	Lavafall	✔️
138	乌木栅栏	Ebonwood Fence (placed).png	EbonwoodFence	✔️
139	红木栅栏	Rich Mahogany Fence (placed).png	RichMahoganyFence	✔️
140	珍珠木栅栏	Pearlwood Fence (placed).png	PearlwoodFence	✔️
141	暗影木栅栏	Shadewood Fence (placed).png	ShadewoodFence	✔️
142	白王朝墙	White Dynasty Wall (placed).png	WhiteDynasty	✔️
143	蓝王朝墙	Blue Dynasty Wall (placed).png	BlueDynasty	✔️
144	奥术神符墙	Arcane Rune Wall (placed).gif	ArcaneRunes	✔️
145	铁栅栏	Iron Fence (placed).png	IronFence	✔️
146	铜护板墙	Copper Plating Wall (placed).png	CopperPlating	✔️
147	石板墙	Stone Slab Wall (placed).png	StoneSlab	✔️
148	船帆	Sail (placed).png	Sail	✔️
149	针叶木墙	Boreal Wood Wall (placed).png	BorealWood	✔️
150	针叶木栅栏	Boreal Wood Fence (placed).png	BorealWoodFence	✔️
151	棕榈木墙	Palm Wood Wall (placed).png	PalmWood	✔️
152	棕榈木栅栏	Palm Wood Fence (placed).png	PalmWoodFence	✔️
153	琥珀晶莹宝石墙	Amber Gemspark Wall (placed).png	AmberGemspark	✔️
154	紫晶晶莹宝石墙	Amethyst Gemspark Wall (placed).png	AmethystGemspark	✔️
155	钻石晶莹宝石墙	Diamond Gemspark Wall (placed).png	DiamondGemspark	✔️
156	翡翠晶莹宝石墙	Emerald Gemspark Wall (placed).png	EmeraldGemspark	✔️
157	黯淡琥珀晶莹宝石墙	Offline Amber Gemspark Wall (placed).png	AmberGemsparkOff	✔️
158	黯淡紫晶晶莹宝石墙	Offline Amethyst Gemspark Wall (placed).png	AmethystGemsparkOff	✔️
159	黯淡钻石晶莹宝石墙	Offline Diamond Gemspark Wall (placed).png	DiamondGemsparkOff	✔️
160	黯淡翡翠晶莹宝石墙	Offline Emerald Gemspark Wall (placed).png	EmeraldGemsparkOff	✔️
161	黯淡红玉晶莹宝石墙	Offline Ruby Gemspark Wall (placed).png	RubyGemsparkOff	✔️
162	黯淡蓝玉晶莹宝石墙	Offline Sapphire Gemspark Wall (placed).png	SapphireGemsparkOff	✔️
163	黯淡黄玉晶莹宝石墙	Offline Topaz Gemspark Wall (placed).png	TopazGemsparkOff	✔️
164	红玉晶莹宝石墙	Ruby Gemspark Wall (placed).png	RubyGemspark	✔️
165	蓝玉晶莹宝石墙	Sapphire Gemspark Wall (placed).png	SapphireGemspark	✔️
166	黄玉晶莹宝石墙	Topaz Gemspark Wall (placed).png	TopazGemspark	✔️
167	锡护板墙	Tin Plating Wall (placed).png	TinPlating	✔️
168	彩纸墙	Confetti Wall (placed).gif	Confetti	✔️
169	午夜彩纸墙	Midnight Confetti Wall (placed).gif	ConfettiBlack	✔️
170	洞穴土墙	Cave Dirt Wall (placed).png	CaveWall	❌
171	粗糙土墙	Rough Dirt Wall (placed).png	CaveWall2	❌
172	蜂蜜瀑布墙	Honeyfall Wall (placed).gif	Honeyfall	✔️
173	叶绿砖墙	Chlorophyte Brick Wall (placed).png	ChlorophyteBrick	✔️
174	猩红矿砖墙	Crimtane Brick Wall (placed).png	CrimtaneBrick	✔️
175	蘑菇矿护板墙	Shroomite Plating Wall (placed).png	ShroomitePlating	✔️
176	火星管道墙	Martian Conduit Wall (placed).png	MartianConduit	✔️
177	狱石砖墙	Hellstone Brick Wall (placed).png	HellstoneBrick	✔️
178	大理石墙	Marble Wall (placed).png	MarbleUnsafe	❌
179	光面大理石墙	Smooth Marble Wall (placed).png	MarbleBlock	✔️
180	花岗岩墙	Granite Wall (placed).png	GraniteUnsafe	❌
181	光面花岗岩墙	Smooth Granite Wall (placed).png	GraniteBlock	✔️
182	陨石砖墙	Meteorite Brick Wall (placed).png	MeteoriteBrick	✔️
183	大理石墙	Marble Wall (placed).png	Marble	✔️
184	花岗岩墙	Granite Wall (placed).png	Granite	✔️
185	崎岖石墙	Craggy Stone Wall (placed).png	Cave8Unsafe	❌
186	水晶块墙	Crystal Block Wall (placed).png	Crystal	✔️
187	沙岩墙	Sandstone Wall (placed).png	Sandstone	❌
188	腐化赘生墙	Corrupt Growth Wall (placed).png	CorruptionUnsafe1	❌
189	腐化团块墙	Corrupt Mass Wall (placed).png	CorruptionUnsafe2	❌
190	腐化脓疱墙	Corrupt Pustule Wall (placed).png	CorruptionUnsafe3	❌
191	腐化卷须墙	Corrupt Tendril Wall (placed).png	CorruptionUnsafe4	❌
192	猩红硬皮墙	Crimson Crust Wall (placed).png	CrimsonUnsafe1	❌
193	猩红疮痂墙	Crimson Scab Wall (placed).png	CrimsonUnsafe2	❌
194	猩红尖牙墙	Crimson Teeth Wall (placed).png	CrimsonUnsafe3	❌
195	猩红水疱墙	Crimson Blister Wall (placed).png	CrimsonUnsafe4	❌
196	分层土墙	Layered Dirt Wall (placed).png	DirtUnsafe1	❌
197	剥落土墙	Crumbling Dirt Wall (placed).png	DirtUnsafe2	❌
198	破裂土墙	Cracked Dirt Wall (placed).png	DirtUnsafe3	❌
199	皱曲土墙	Wavy Dirt Wall (placed).png	DirtUnsafe4	❌
200	神圣棱柱墙	Hallowed Prism Wall (placed).png	HallowUnsafe1	❌
201	神圣洞穴墙	Hallowed Cavern Wall (placed).png	HallowUnsafe2	❌
202	神圣碎块墙	Hallowed Shard Wall (placed).png	HallowUnsafe3	❌
203	神圣结晶墙	Hallowed Crystalline Wall (placed).png	HallowUnsafe4	❌
204	地衣石墙	Lichen Stone Wall (placed).png	JungleUnsafe1	❌
205	多叶丛林墙	Leafy Jungle Wall (placed).png	JungleUnsafe2	❌
206	常春藤石墙	Ivy Stone Wall (placed).png	JungleUnsafe3	❌
207	丛林藤蔓墙	Jungle Vine Wall (placed).png	JungleUnsafe4	❌
